id,prediction,uid
0,1,7.21E+17
1,1,7.21E+17
2,0,7.21E+17
3,1,7.21E+17
4,1,7.21E+17
5,1,7.21E+17
6,0,7.21E+17
7,0,7.21E+17
8,1,7.21E+17
9,1,7.21E+17
10,0,7.21E+17
11,1,7.21E+17
12,1,7.21E+17
13,0,7.21E+17
14,0,7.21E+17
15,1,7.21E+17
16,1,7.21E+17
17,0,7.21E+17
18,1,7.21E+17
19,1,7.21E+17
20,0,7.21E+17
21,1,7.21E+17
22,1,7.21E+17
23,0,7.21E+17
24,0,7.21E+17
25,1,7.21E+17
26,1,7.21E+17
27,1,7.21E+17
28,0,7.21E+17
29,1,7.21E+17
30,1,7.21E+17
31,0,7.21E+17
32,1,7.21E+17
33,1,7.21E+17
34,1,7.21E+17
35,1,7.21E+17
36,0,7.21E+17
37,0,7.21E+17
38,0,7.21E+17
39,1,7.21E+17
40,0,7.21E+17
41,0,7.21E+17
42,0,7.21E+17
43,0,7.21E+17
44,1,7.21E+17
45,1,7.21E+17
46,0,7.21E+17
47,1,7.21E+17
48,1,7.21E+17
49,0,7.21E+17
50,0,7.21E+17
51,1,7.21E+17
52,1,7.21E+17
53,1,7.21E+17
54,1,7.21E+17
55,1,7.21E+17
56,0,7.21E+17
57,1,7.21E+17
58,0,7.21E+17
59,1,7.21E+17
60,0,7.21E+17
61,0,7.21E+17
62,1,7.21E+17
63,0,7.21E+17
64,0,7.21E+17
65,1,7.21E+17
66,1,7.21E+17
67,1,7.21E+17
68,1,7.21E+17
69,0,7.21E+17
70,0,7.21E+17
71,1,7.21E+17
72,1,7.21E+17
73,1,7.21E+17
74,1,7.21E+17
75,1,7.21E+17
76,1,7.21E+17
77,1,7.21E+17
78,1,7.21E+17
79,1,7.21E+17
80,0,7.21E+17
81,0,7.21E+17
82,0,7.21E+17
83,1,7.21E+17
84,1,7.21E+17
85,0,7.21E+17
86,0,7.21E+17
87,0,7.21E+17
88,0,7.21E+17
89,0,7.21E+17
90,1,7.21E+17
91,1,7.21E+17
92,1,7.21E+17
93,1,7.21E+17
94,0,7.21E+17
95,1,7.21E+17
96,0,7.21E+17
97,0,7.21E+17
98,0,7.21E+17
99,1,7.21E+17
100,1,7.21E+17
101,1,7.21E+17
102,1,7.21E+17
103,1,7.21E+17
104,1,7.21E+17
105,1,7.21E+17
106,1,7.21E+17
107,1,7.21E+17
108,1,7.21E+17
109,0,7.21E+17
110,0,7.21E+17
111,1,7.21E+17
112,1,7.21E+17
113,0,7.21E+17
114,1,7.21E+17
115,0,7.21E+17
116,1,7.21E+17
117,1,7.21E+17
118,0,7.21E+17
119,0,7.21E+17
120,1,7.21E+17
121,1,7.21E+17
122,1,7.21E+17
123,0,7.21E+17
124,0,7.21E+17
125,0,7.21E+17
126,1,7.21E+17
127,1,7.21E+17
128,1,7.21E+17
129,0,7.21E+17
130,0,7.21E+17
131,0,7.21E+17
132,1,7.21E+17
133,0,7.21E+17
134,1,7.21E+17
135,0,7.21E+17
136,0,7.21E+17
137,0,7.21E+17
138,1,7.21E+17
139,0,7.21E+17
140,1,7.21E+17
141,0,7.21E+17
142,0,7.21E+17
143,1,7.21E+17
144,0,7.21E+17
145,0,7.21E+17
146,1,7.21E+17
147,1,7.21E+17
148,1,7.21E+17
149,1,7.21E+17
150,0,7.21E+17
151,1,7.21E+17
152,1,7.21E+17
153,0,7.21E+17
154,0,7.21E+17
155,1,7.21E+17
156,0,7.21E+17
157,0,7.21E+17
158,0,7.21E+17
159,0,7.21E+17
160,1,7.21E+17
161,1,7.21E+17
162,1,7.21E+17
163,0,7.21E+17
164,0,7.21E+17
165,1,7.21E+17
166,1,7.21E+17
167,1,7.21E+17
168,1,7.21E+17
169,0,7.21E+17
170,1,7.21E+17
171,1,7.21E+17
172,1,7.21E+17
173,1,7.21E+17
174,1,7.21E+17
175,1,7.21E+17
176,1,7.21E+17
177,0,7.21E+17
178,1,7.21E+17
179,1,7.21E+17
180,0,7.21E+17
181,0,7.21E+17
182,1,7.21E+17
183,0,7.21E+17
184,0,7.21E+17
185,0,7.21E+17
186,0,7.21E+17
187,0,7.21E+17
188,0,7.21E+17
189,0,7.21E+17
190,1,7.21E+17
191,1,7.21E+17
192,0,7.21E+17
193,1,7.21E+17
194,1,7.21E+17
195,0,7.21E+17
196,0,7.21E+17
197,1,7.21E+17
198,0,7.21E+17
199,1,7.21E+17
200,1,7.21E+17
201,0,7.21E+17
202,1,7.21E+17
203,0,7.21E+17
204,0,7.21E+17
205,1,7.21E+17
206,0,7.21E+17
207,1,7.21E+17
208,0,7.21E+17
